STT,Tên chung quốc tế,Mã ATC,Loại thuốc,Dạng thuốc và hàm lượng,Tên (Chế phẩm/Biệt dược),Chống chỉ định,Tương tác thuốc
1,ACARBOSE,A10BF01,Thuốc chống đái tháo đường; Thuốc ức chế alpha-glucosidase.,Viên nén 50 mg; Viên nén 100 mg.,"Glucobay, Precose.","Quá mẫn; Bệnh đường ruột mạn tính, tắc ruột; Suy gan, tăng enzym gan; Phụ nữ có thai và cho con bú; Trẻ em dưới 18 tuổi.","Than hoạt, enzym tiêu hóa (giảm tác dụng); Sucralfat; Neomycin (tăng tác dụng); Insulin, sulfonylure (nguy cơ hạ đường huyết)."
2,ACETAZOLAMIDE,S01EC01,Thuốc lợi tiểu carbonic anhydrase; Thuốc chống glôcôm.,"Viên nén 125 mg, 250 mg; Thuốc tiêm 500 mg/5 ml.","Diamox, Glaupax.",Suy thận/gan nặng; Nhiễm acid do thận; Giảm K+/Na+ máu; Bệnh Addison; Quá mẫn với sulfonamid.,"Quinidin, Lithium, Thuốc lợi tiểu khác; Thuốc corticosteroid; Thuốc chống đông máu."
3,ACETYLCYSTEIN,R05CB01,Thuốc làm tiêu chất nhầy; Thuốc giải độc.,"Thuốc cốm 100 mg, 200 mg; Viên nén sủi bọt 600 mg.","Exomuc, Acetaderm, Mucomyst.",Quá mẫn; Tiền sử hen phế quản; Trẻ em dưới 2 tuổi.,"Tetracyclin, ampicillin, amphotericin B (giảm hiệu quả); Thuốc chống ho."
4,ACICLOVIR,J05AB01,Thuốc kháng virus.,"Viên nén 200 mg, 400 mg, 800 mg; Thuốc tiêm 250 mg/10 ml.","Zovirax, Acic, Herpesin.","Quá mẫn với aciclovir, valaciclovir hoặc propylen glycol.","Zidovudin, Theophylin, Probenecid, Cimetidin, Mycophenolat mofetil."
5,ACID ACETYLSALICYLIC (ASPIRIN),N02BA01,"Thuốc giảm đau, hạ sốt, chống viêm không steroid; Thuốc chống kết tập tiểu cầu.","Viên nén 81 mg, 100 mg (chống kết tập); Viên nén 500 mg.","Aspirin pH8, Aspi, Aspegic.",Loét dạ dày tá tràng tiến triển; Hen; Suy gan/thận nặng; Rối loạn đông máu; Trẻ em (hội chứng Reye).,"Thuốc chống đông máu, Heparin, Rượu, NSAID, Methotrexat, Furosemid, Thuốc hạ huyết áp."
6,ACID ASCORBIC (VITAMIN C),A11GA01,Vitamin.,"Viên nén 100 mg, 500 mg; Thuốc tiêm 500 mg/2 ml.","Cebion, Vitamin C.",Thiếu G6PD; Sỏi thận (dùng liều cao); Tăng oxalat niệu.,"Desferrioxamin, Aspirin, Fluphenazin, Vitamin B12, Thuốc chống đông máu."
7,ACID BORIC,S02AA03,Thuốc sát khuẩn.,Dung dịch 3%; Bột tinh thể.,Boric acid.,"Không dùng cho trẻ nhỏ dưới 2 tuổi; Không dùng trên vết thương hở, da tổn thương diện rộng.",Không có tương tác thuốc đáng kể khi dùng ngoài.
8,ACID FOLIC,B03BB01,Vitamin.,Viên nén 5 mg; Dung dịch uống.,"Folacid, Vitamin B9.",Ung thư chưa chẩn đoán (vì có thể thúc đẩy sự phát triển khối u); Thiếu máu ác tính chưa chẩn đoán.,"Phenytoin, Primidon, Phenobarbital, Cloramphenicol, các thuốc chống ung thư (Methotrexat)."
9,ACID IOPANOIC,V08AA01,Thuốc cản quang chẩn đoán.,Viên nén 500 mg.,"Telepaque, Bilijodon.",Quá mẫn với thuốc chứa iod; Suy gan/thận nặng; Phụ nữ có thai.,"Thuốc lợi tiểu, thuốc chẹn beta, các chất cản quang khác."
10,ACID NALIDIXIC,J01MB02,Thuốc kháng khuẩn nhóm Quinolone.,Viên nén 500 mg; Hỗn dịch uống 250 mg/5 ml.,"Negram, Wintomylon.","Quá mẫn; Tiền sử động kinh, tăng áp lực nội sọ; Trẻ em dưới 3 tháng tuổi.","Warfarin, Thuốc chống đông máu khác, Nitrofurantoin."
11,ACID PARA - AMINOBENZOIC,D02AA01,"Thuốc bảo vệ da, chống nắng.",Kem bôi ngoài da 5%.,PABA.,Quá mẫn.,"Sulfonamid, PABA có thể gây kích ứng da khi dùng đồng thời."
12,ACID PIPEMIDIC,J01MB04,Thuốc kháng khuẩn nhóm Quinolone.,"Viên nang 200 mg, 400 mg.","Pipem, Uronid.","Quá mẫn; Tiền sử co giật, suy thận/gan nặng.","Theophylin (tăng nồng độ Theophylin), Warfarin."
13,ACID TRANEXAMIC,B02AA02,Thuốc chống tiêu sợi huyết.,"Viên nén 250 mg, 500 mg; Thuốc tiêm 500 mg/5 ml.","Transamin, Cyklokapron.","Huyết khối cấp tính (trừ trường hợp xuất huyết), suy thận nặng.","Thuốc tiêu sợi huyết (giảm tác dụng), Thuốc tránh thai đường uống (tăng nguy cơ huyết khối)."
14,ADRENALINE (EPINEPHRINE),C01CA24,Thuốc cường giao cảm; Thuốc điều trị sốc phản vệ.,Thuốc tiêm 1 mg/ml.,"Adrenalin, Epinephrine.",Glôcôm góc đóng; Bệnh tim mạch nặng (trừ khi dùng cho sốc phản vệ); Đang dùng thuốc gây mê toàn thân (Halothane).,"Thuốc chẹn beta (giảm tác dụng), Thuốc chống trầm cảm ba vòng, Glycosid trợ tim (tăng độc tính tim)."
15,ALBENDAZOLE,P02CA03,Thuốc trị giun sán.,"Viên nén 200 mg, 400 mg; Hỗn dịch uống 400 mg/10 ml.","Zentel, Alzental.","Quá mẫn; Có thai, cho con bú; Trẻ em dưới 2 tuổi (một số trường hợp).","Praziquantel, Cimetidin, Dexamethasone (tăng nồng độ Albendazole)."
16,ALBUMIN NGƯỜI,B05AA01,Dung dịch thay thế huyết tương.,"Dung dịch tiêm truyền 5%, 20%, 25%.",Human Albumin.,Thiếu máu nặng; Suy tim; Quá mẫn.,Không có tương tác thuốc đáng kể.
17,ALMAGAT,A02AD03,Thuốc kháng acid.,Viên nén 400 mg; Hỗn dịch uống.,Almagate.,Quá mẫn; Suy thận nặng; Giảm phosphat máu.,"Tetracycline, Fluoroquinolone, Digoxin (giảm hấp thu)."
18,ALLOPURINOL,M04AA01,Thuốc điều trị Gout; Thuốc ức chế men xanthin oxidase.,"Viên nén 100 mg, 300 mg.","Zyloric, Allop.",Quá mẫn; Cơn Gout cấp tính (không nên bắt đầu).,"Azathioprin, Mercaptopurin (tăng độc tính); Ampicillin/Amoxicillin (tăng nguy cơ phát ban)."
19,ALPRAZOLAM,N05BA12,Thuốc giải lo âu nhóm Benzodiazepine.,"Viên nén 0,25 mg, 0,5 mg, 1 mg.","Xanax, Alprax.",Glôcôm góc đóng; Suy hô hấp cấp; Nhược cơ nặng; Quá mẫn; Phụ nữ có thai 3 tháng đầu.,"Rượu, Thuốc ức chế TKTW (gây ức chế hô hấp); Thuốc ức chế CYP3A4 (Ketoconazole, Itraconazole)."
20,ALUMINIUM HYDROXIDE,A02AB01,Thuốc kháng acid.,Viên nén 500 mg; Hỗn dịch uống.,"Maalox (thường phối hợp), Alumagel.",Suy thận nặng; Giảm phosphat máu.,"Tetracycline, Fluoroquinolone, Digoxin, Sắt (giảm hấp thu)."
21,AMANTADINE,N04BB01,Thuốc kháng virus; Thuốc chống Parkinson.,Viên nang 100 mg.,Symmetrel.,"Quá mẫn; Suy tim sung huyết, suy thận nặng; Loét dạ dày tiến triển.","Thuốc kháng Cholinergic (tăng tác dụng phụ), Thuốc lợi tiểu Thiazid (tăng nồng độ Amantadine)."
22,AMIKACIN,J01GB06,Kháng sinh nhóm Aminoglycosid.,"Thuốc tiêm 250 mg/ml, 500 mg/2 ml.","Amikin, Amiglyde.",Quá mẫn với Aminoglycosid; Tổn thương thính giác hoặc tiền đình.,"Thuốc lợi tiểu quai (Furosemide), Vancomycin, Amphotericin B (tăng độc tính thận/tai)."
23,AMINOPHYLLINE,R03DA05,Thuốc giãn phế quản.,"Viên nén 100 mg, 200 mg; Thuốc tiêm 250 mg/10 ml.",Aminophyllin.,Quá mẫn với Xanthine; Loét dạ dày tá tràng tiến triển; Động kinh không kiểm soát.,"Ciprofloxacin, Erythromycin, Cimetidine (tăng nồng độ Aminophylline); Phenytoin, Carbamazepine (giảm nồng độ Aminophylline)."
24,AMIODARONE,C01BD01,Thuốc chống loạn nhịp nhóm III.,Viên nén 200 mg; Thuốc tiêm 150 mg/3 ml.,"Cordarone, Sedacoron.","Nhịp chậm xoang, Block nhĩ thất độ 2/3; Rối loạn chức năng tuyến giáp; Phụ nữ có thai.","Warfarin, Digoxin, Simvastatin, Thuốc chẹn beta, Thuốc chẹn kênh canxi (tăng độc tính)."
25,AMITRIPTYLINE,N06AA09,Thuốc chống trầm cảm ba vòng.,"Viên nén 10 mg, 25 mg.","Elavil, Saroten.",Đang dùng Thuốc ức chế MAO (nguy cơ hội chứng Serotonin); Giai đoạn phục hồi sau nhồi máu cơ tim cấp.,"Thuốc ức chế MAO; Rượu, Thuốc ức chế TKTW; Thuốc kháng Cholinergic."
26,AMLODIPINE,C08CA01,Thuốc chẹn kênh canxi.,"Viên nén 5 mg, 10 mg.","Norvasc, Amlor.",Sốc tim; Tắc nghẽn đường ra thất trái; Quá mẫn.,"Clarithromycin, Erythromycin, Thuốc ức chế CYP3A4 (tăng nồng độ Amlodipine); Rifampicin (giảm nồng độ)."
27,AMOXICILLIN,J01CA04,Kháng sinh nhóm Penicillin.,"Viên nén 250 mg, 500 mg; Hỗn dịch uống 125 mg/5 ml, 250 mg/5 ml.","Amoxil, Curam, Augmentin (phối hợp).",Quá mẫn với Penicillin; Nhiễm virus Epstein-Barr (tăng nguy cơ phát ban).,"Probenecid, Methotrexate, Thuốc chống đông máu, Thuốc tránh thai đường uống (giảm hiệu quả)."
28,AMPHOTERICIN B,J02AA01,Thuốc kháng nấm toàn thân.,Bột pha tiêm 50 mg.,Fungizone.,Quá mẫn; Suy thận nặng.,"Aminoglycosid, Furosemide, Cisplatin (tăng độc tính thận); Digitalis (tăng nguy cơ độc tim)."
29,AMPICILLIN,J01CA01,Kháng sinh nhóm Penicillin.,"Viên nang 250 mg, 500 mg; Bột pha tiêm 500 mg, 1 g.","Ampicin, Penbritin.",Quá mẫn với Penicillin; Nhiễm virus Epstein-Barr.,"Probenecid, Allopurinol (tăng nguy cơ phát ban), Thuốc tránh thai đường uống."
30,APROTININ,B02AB01,Thuốc ức chế tiêu sợi huyết.,Dung dịch tiêm 10.000 KIU/ml.,Trasylol.,Quá mẫn với Aprotinin hoặc protein bò.,"Heparin (kéo dài thời gian đông máu), Thuốc tiêu sợi huyết."
31,ASCORBIC ACID,A11GA01,Vitamin.,"Viên nén 100 mg, 500 mg; Thuốc tiêm 500 mg/2 ml.",Vitamin C.,Thiếu G6PD; Sỏi thận (liều cao); Tăng oxalat niệu.,"Desferrioxamin, Aspirin, Fluphenazin, Vitamin B12, Thuốc chống đông máu."
32,ASPIRIN (LIỀU THẤP),B01AC06,Thuốc chống kết tập tiểu cầu.,"Viên nén 81 mg, 100 mg (bao tan trong ruột).",Aspirin Protect.,Loét dạ dày tá tràng tiến triển; Rối loạn chảy máu; Hen phế quản; Suy gan/thận nặng.,"Warfarin, Methotrexate, Corticosteroid, Thuốc lợi tiểu."
33,ATENOLOL,C07AB03,Thuốc chẹn beta chọn lọc.,"Viên nén 50 mg, 100 mg.",Tenormin.,"Nhịp chậm xoang, Sốc tim, Suy tim sung huyết không kiểm soát, Block nhĩ thất độ 2/3.","Verapamil, Diltiazem, Digoxin, Thuốc ức chế MAO, Thuốc hạ đường huyết (che lấp triệu chứng hạ đường huyết)."
34,ATORVASTATIN,C10AA05,Thuốc ức chế HMG-CoA reductase (Statin).,"Viên nén 10 mg, 20 mg, 40 mg.","Lipitor, Ator.","Bệnh gan tiến triển, tăng transaminase huyết thanh kéo dài không rõ nguyên nhân, có thai, cho con bú.","Cyclosporine, Kháng nấm Azole, Clarithromycin, Nước ép bưởi (lượng lớn)."
35,ATROPINE,A03AB04,Thuốc chống cholinergic; Thuốc giãn đồng tử.,"Thuốc tiêm 0,25 mg/ml; Viên nén 0,5 mg; Thuốc nhỏ mắt.",Atropin.,Glôcôm góc đóng; Tắc nghẽn đường tiết niệu hoặc tiêu hóa; Nhược cơ nặng.,"Thuốc kháng histamin, Thuốc chống trầm cảm ba vòng, Thuốc ức chế MAO (tăng tác dụng phụ kháng cholinergic)."
36,AZATHIOPRINE,L04AX01,Thuốc ức chế miễn dịch.,Viên nén 50 mg.,Imuran.,Có thai; Quá mẫn; Suy tủy nặng.,Allopurinol (tăng độc tính); Warfarin (giảm tác dụng chống đông).
37,AZITHROMYCIN,J01FA10,Kháng sinh nhóm Macrolide.,"Viên nén 250 mg, 500 mg; Hỗn dịch uống 200 mg/5 ml.","Zithromax, Aziclar.",Quá mẫn với Macrolide; Suy gan nặng; Loạn nhịp tim (QT kéo dài).,"Nelfinavir, Digoxin, Cyclosporine, Thuốc kháng acid (giảm hấp thu)."
38,BACITRACIN,J01XA01,Kháng sinh polypeptide.,Thuốc mỡ 500 UI/g (thường phối hợp).,Bacitrin.,Quá mẫn; Suy thận (dùng toàn thân).,Dùng đồng thời với Aminoglycosid (tăng độc tính thận).
39,BACLOFEN,M03BX01,Thuốc giãn cơ.,"Viên nén 10 mg, 25 mg.",Lioresal.,"Loét dạ dày tá tràng, Quá mẫn.","Rượu, Thuốc ức chế TKTW (tăng an thần); Thuốc chống trầm cảm ba vòng."
40,BENZATHINE BENZYLPENICILLIN,J01CE08,Kháng sinh nhóm Penicillin.,"Bột pha tiêm 1,2 triệu UI, 2,4 triệu UI.",Penicillin G Benzathine.,"Quá mẫn với Penicillin, Cephalosporin.",Probenecid (tăng nồng độ); Thuốc tránh thai đường uống.
41,BENZYLPENICILLIN (PENICILLIN G),J01CE01,Kháng sinh nhóm Penicillin.,"Bột pha tiêm 1 triệu UI, 5 triệu UI.",Penicillin G.,"Quá mẫn với Penicillin, Cephalosporin.","Probenecid, Methotrexate (tăng nồng độ Penicillin); Tetracycline (giảm tác dụng)."
42,BETAMETHASONE (TOÀN THÂN),H02AB01,Corticosteroid.,"Viên nén 0,5 mg; Thuốc tiêm 4 mg/ml.",Celestone.,Nhiễm nấm/virus/lao toàn thân chưa kiểm soát; Đang dùng vắc xin sống.,"Rifampicin, Phenytoin (giảm nồng độ Betamethasone); Thuốc lợi tiểu quai, NSAIDs, Digoxin."
43,BISACODYL,A06AB02,Thuốc nhuận tràng kích thích.,Viên nén 5 mg; Thuốc đạn 10 mg.,Dulcolax.,"Tắc ruột, đau bụng cấp, mất nước nghiêm trọng.","Thuốc lợi tiểu, Corticosteroid (tăng nguy cơ giảm Kali)."
44,BROMHEXINE,R05CB02,Thuốc làm tiêu chất nhầy.,Viên nén 8 mg; Dung dịch uống 4 mg/5 ml.,Bisolvon.,"Loét dạ dày tá tràng tiến triển, Quá mẫn.","Kháng sinh Amoxicillin, Erythromycin, Tetracycline (tăng nồng độ kháng sinh trong dịch tiết phế quản)."
45,BUDESONIDE (HÍT),R03BA02,Corticosteroid dạng hít.,"Thuốc hít 100 mcg/liều, 200 mcg/liều.","Pulmicort, Symbicort (phối hợp).","Hen cấp tính (không dùng để cắt cơn), Quá mẫn.","Thuốc ức chế CYP3A4 mạnh (Ketoconazole, Itraconazole)."
46,BUPRENORPHINE,N07BC01,Thuốc giảm đau Opioid bán tổng hợp.,"Thuốc tiêm 0,3 mg/ml; Viên ngậm dưới lưỡi 2 mg, 8 mg.","Subutex, Buprenex.",Quá mẫn; Suy hô hấp cấp.,"Rượu, Benzodiazepine (tăng ức chế hô hấp); Thuốc ức chế MAO."
47,BUSPIRONE,N05BE01,Thuốc giải lo âu.,"Viên nén 5 mg, 10 mg.",Buspar.,"Đang dùng Thuốc ức chế MAO (nguy cơ tăng huyết áp), Suy thận/gan nặng.","Thuốc ức chế MAO, Thuốc ức chế CYP3A4 (Erythromycin, Itraconazole)."
48,CALCIUM CARBONATE,A12AA04,Bổ sung Canxi; Thuốc kháng acid.,"Viên nén 500 mg, 600 mg.",Calci D.,"Tăng canxi máu, suy thận nặng, sỏi thận.","Digitalis (tăng độc tim), Thuốc lợi tiểu Thiazid, Tetracycline, Fluoroquinolone."
49,CALCIUM GLUCONATE,A12AA03,Bổ sung Canxi.,Thuốc tiêm 100 mg/ml.,Calcium Gluconate.,"Tăng canxi máu, đang dùng Digitalis.","Digitalis (nguy cơ độc tim), Thuốc lợi tiểu Thiazid."
50,CAPTOPRIL,C09AA01,Thuốc ức chế men chuyển Angiotensin (ACEI).,"Viên nén 25 mg, 50 mg.",Capoten.,"Tiền sử phù mạch do ACEI, hẹp động mạch thận hai bên, có thai.","Thuốc lợi tiểu giữ Kali, Kali bổ sung, NSAIDs, Lithium."
51,CARBAMAZEPINE,N03AF01,Thuốc chống co giật; Thuốc chống động kinh.,"Viên nén 200 mg, 400 mg; Hỗn dịch uống 100 mg/5 ml.","Tegretol, Carbatrol.",Đang dùng Thuốc ức chế MAO; Block nhĩ thất; Rối loạn tạo máu nặng; Quá mẫn.,"Warfarin, Thuốc tránh thai (giảm hiệu quả); Erythromycin, Verapamil (tăng nồng độ Carbamazepine)."
52,CARBIDOPA,N04BA02,Thuốc chống Parkinson (phối hợp).,Viên nén (thường phối hợp với Levodopa).,"Sinemet (phối hợp), Duodopa.",Glôcôm góc đóng; Tổn thương da nghi ngờ ung thư.,"Thuốc ức chế MAO (nguy cơ tăng huyết áp), Phenytoin, Papaverin."
53,CARBOPLATIN,L01XA02,Thuốc chống ung thư; Hợp chất Platin.,"Bột pha tiêm 50 mg, 150 mg, 450 mg.","Paraplatin, Carboplatin.",Suy tủy nặng; Chảy máu nặng; Suy thận nặng (cần điều chỉnh liều).,Aminoglycosid (tăng độc tính tai/thận); Thuốc lợi tiểu quai; Paclitaxel.
54,CEFALEXIN,J01DB01,Kháng sinh nhóm Cephalosporin thế hệ 1.,"Viên nang 250 mg, 500 mg; Hỗn dịch uống 125 mg/5 ml.","Keflex, Cefastar.","Quá mẫn với Cephalosporin, Penicillin.",Probenecid (tăng nồng độ Cefalexin); Thuốc lợi tiểu quai.
