inn,drug_class,brand_names,forms,inn_clean,atc_code,drug_class_clean,forms_clean,brand_clean,tokens,aliases,routes,is_pediatric_form,age_min,risk_tags,contraindications,specialties
ACARBOSE,Thuốc chống đái tháo đường; Thuốc ức chế alpha-glucosidase.,"['Glucobay', 'Precose']","['Viên nén 50 mg', 'Viên nén 100 mg']",acarbose,a10bf01,thuoc chong dai thao duong; thuoc uc che alpha-glucosidase.,"['vien nen 50mg', 'vien nen 100mg']","['glucobay', 'precose']","['che', 'nen', 'vien', 'alphaglucosidase', '100mg', 'dai', 'thuoc', 'glucobay', 'uc', 'chong', 'a10bf01', 'thao', 'duong', 'acarbose', 'precose', '50mg']",[],"{""oral""}",False,18.0,"['hepatic_toxic', 'pregnancy_risk']","Quá mẫn; Bệnh đường ruột mạn tính, tắc ruột; Suy gan, tăng enzym gan; Phụ nữ có thai và cho con bú; Trẻ em dưới 18 tuổi.","{""endocrinology""}"
ACETAZOLAMIDE,Thuốc lợi tiểu carbonic anhydrase; Thuốc chống glôcôm.,"['Diamox', 'Glaupax']","['Viên nén 125 mg', 'Viên nén 250 mg', 'Thuốc tiêm 500 mg/5 ml']",acetazolamide,s01ec01,thuoc loi tieu carbonic anhydrase; thuoc chong glocom.,"['vien nen 125mg', 'vien nen 250mg', 'thuoc tiem 500mg/5ml']","['diamox', 'glaupax']","['125mg', 'vien', 'loi', 'anhydrase', 'acetazolamide', 'glaupax', '250mg', 'thuoc', 's01ec01', 'carbonic', 'tieu', 'chong', '500mg/5ml', 'diamox', 'tiem', 'nen', 'glocom']",[],"{""oral"",""injection""}",False,,"['hepatic_toxic', 'renal_adjust']",Suy thận/gan nặng; Nhiễm acid do thận; Giảm K+/Na+ máu; Bệnh Addison; Quá mẫn với sulfonamid.,"{""ophthalmology""}"
ACETYLCYSTEIN,Thuốc làm tiêu chất nhầy; Thuốc giải độc.,"['Exomuc', 'Acetaderm', 'Mucomyst']","['Thuốc cốm 100 mg', 'Thuốc cốm 200 mg', 'Viên nén sủi bọt 600 mg']",acetylcystein,r05cb01,thuoc lam tieu chat nhay; thuoc giai doc.,"['thuoc com 100mg', 'thuoc com 200mg', 'vien nen sui bot 600mg']","['exomuc', 'acetaderm', 'mucomyst']","['giai', '200mg', 'mucomyst', '100mg', 'vien', 'nhay', 'tieu', 'sui', 'doc', '600mg', 'acetaderm', 'lam', 'chat', 'nen', 'com', 'acetylcystein', 'r05cb01', 'bot', 'thuoc', 'exomuc']",[],"{""oral""}",True,2.0,[],Quá mẫn; Tiền sử hen phế quản; Trẻ em dưới 2 tuổi.,"{""respiratory""}"
ACICLOVIR,Thuốc kháng virus.,"['Zovirax', 'Acic', 'Herpesin']","['Viên nén 200 mg', 'Viên nén 400 mg', 'Viên nén 800 mg', 'Thuốc tiêm 250 mg/10 ml']",aciclovir,j05ab01,thuoc khang virus.,"['vien nen 200mg', 'vien nen 400mg', 'vien nen 800mg', 'thuoc tiem 250mg/10ml']","['zovirax', 'acic', 'herpesin']","['vien', 'thuoc', '800mg', 'aciclovir', '200mg', 'zovirax', 'virus', '400mg', '250mg/10ml', 'tiem', 'acic', 'nen', 'j05ab01', 'herpesin', 'khang']",['acyclovir'],"{""oral"",""injection""}",False,,[],"Quá mẫn với aciclovir, valaciclovir hoặc propylen glycol.","{""infectious""}"
ACID ACETYLSALICYLIC (ASPIRIN),"Thuốc giảm đau, hạ sốt, chống viêm không steroid; Thuốc chống kết tập tiểu cầu.","['Aspirin pH8', 'Aspi', 'Aspegic']","['Viên nén 81 mg', 'Viên nén 100 mg (chống kết tập)', 'Viên nén 500 mg']",acid acetylsalicylic (aspirin),n02ba01,"thuoc giam dau, ha sot, chong viem khong steroid; thuoc chong ket tap tieu cau.","['vien nen 81mg', 'vien nen 100mg (chong ket tap)', 'vien nen 500mg']","['aspirin ph8', 'aspi', 'aspegic']","['ket', 'n02ba01', 'ha', 'ph8', 'aspirin', '100mg', 'vien', 'steroid', 'dau', 'acid', '81mg', 'tieu', 'acetylsalicylic', 'aspi', 'tap', 'viem', 'khong', 'nen', 'giam', 'aspegic', 'cau', 'thuoc', 'chong', 'sot', '500mg']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']",Loét dạ dày tá tràng tiến triển; Hen; Suy gan/thận nặng; Rối loạn đông máu; Trẻ em (hội chứng Reye).,"{""pain""}"
ACID ASCORBIC (VITAMIN C),Vitamin.,"['Cebion', 'Vitamin C']","['Viên nén 100 mg', 'Viên nén 500 mg', 'Thuốc tiêm 500 mg/2 ml']",acid ascorbic (vitamin c),a11ga01,vitamin.,"['vien nen 100mg', 'vien nen 500mg', 'thuoc tiem 500mg/2ml']","['cebion', 'vitamin c']","['nen', '100mg', 'vien', '500mg/2ml', 'c', 'acid', 'thuoc', 'a11ga01', 'tiem', 'ascorbic', '500mg', 'cebion', 'vitamin']",[],"{""oral"",""injection""}",False,,['renal_adjust'],Thiếu G6PD; Sỏi thận (dùng liều cao); Tăng oxalat niệu.,{}
ACID BORIC,Thuốc sát khuẩn.,['Boric acid'],"['Dung dịch 3%', 'Bột tinh thể']",acid boric,s02aa03,thuoc sat khuan.,"['dung dich 3%', 'bot tinh the']",['boric acid'],"['khuan', 'bot', 'boric', 'acid', 'thuoc', 'dung', 'dich', 'tinh', 'the', 's02aa03', 'sat', '3%']",[],"{""oral""}",False,2.0,[],"Không dùng cho trẻ nhỏ dưới 2 tuổi; Không dùng trên vết thương hở, da tổn thương diện rộng.","{""otology""}"
ACID FOLIC,Vitamin.,"['Folacid', 'Vitamin B9']","['Viên nén 5 mg', 'Dung dịch uống']",acid folic,b03bb01,vitamin.,"['vien nen 5mg', 'dung dich uong']","['folacid', 'vitamin b9']","['vien', 'folacid', 'acid', '5mg', 'dung', 'folic', 'dich', 'uong', 'b9', 'nen', 'vitamin', 'b03bb01']",[],"{""oral""}",False,,[],Ung thư chưa chẩn đoán (vì có thể thúc đẩy sự phát triển khối u); Thiếu máu ác tính chưa chẩn đoán.,{}
ACID IOPANOIC,Thuốc cản quang chẩn đoán.,"['Telepaque', 'Bilijodon']",['Viên nén 500 mg'],acid iopanoic,v08aa01,thuoc can quang chan doan.,['vien nen 500mg'],"['telepaque', 'bilijodon']","['nen', 'vien', 'can', 'doan', 'bilijodon', 'acid', 'thuoc', 'v08aa01', 'iopanoic', 'quang', '500mg', 'chan', 'telepaque']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust', 'pregnancy_risk']",Quá mẫn với thuốc chứa iod; Suy gan/thận nặng; Phụ nữ có thai.,{}
ACID NALIDIXIC,Thuốc kháng khuẩn nhóm Quinolone.,"['Negram', 'Wintomylon']","['Viên nén 500 mg', 'Hỗn dịch uống 250 mg/5 ml']",acid nalidixic,j01mb02,thuoc khang khuan nhom quinolone.,"['vien nen 500mg', 'hon dich uong 250mg/5ml']","['negram', 'wintomylon']","['250mg/5ml', 'khuan', 'vien', 'j01mb02', 'nhom', 'nalidixic', 'negram', 'acid', 'thuoc', 'hon', 'dich', 'quinolone', 'uong', 'nen', '500mg', 'wintomylon', 'khang']",[],"{""oral""}",True,3.0,['renal_adjust'],"Quá mẫn; Tiền sử động kinh, tăng áp lực nội sọ; Trẻ em dưới 3 tháng tuổi.","{""infectious""}"
