group_id,query,atc_code,f_semantic,f_inn_match,f_brand_match,f_form_match,f_route_match,f_pediatric,f_risk,f_contra,f_spec,label
0,panc,A09AA02,0.3311660885810852,1,0,0,0,0,0,3,1,1
0,panc,N05BA12,0.19963252544403076,0,0,0,0,0,2,9,1,0
0,panc,J06AA01,0.3250836431980133,0,0,0,0,0,0,1,1,0
0,panc,R01AD12,0.17107971012592316,0,0,0,0,0,0,1,1,0
0,panc,J06BB01,0.3224716782569885,0,0,0,0,0,0,6,1,0
1,pancrelipase,A09AA02,0.6334707140922546,1,0,0,0,0,0,3,1,1
1,pancrelipase,G03GA08,0.3926817774772644,0,0,0,0,0,0,2,1,0
1,pancrelipase,N06AA10,0.3496156334877014,0,0,0,0,0,0,2,1,0
1,pancrelipase,J05AR03,0.3811016380786896,0,0,0,0,0,0,1,1,0
1,pancrelipase,B03AX07,0.2175385057926178,0,0,0,0,0,0,1,0,0
2,pank,A09AA02,0.2912205755710602,0,0,0,0,0,0,3,1,1
2,pank,C02AC01,0.3271622657775879,0,0,0,0,0,0,2,1,0
2,pank,M05BA01,0.32091736793518066,0,0,0,0,0,1,3,1,0
2,pank,N06DA02,0.19403159618377686,0,0,0,0,0,0,2,1,0
2,pank,L01XX58,0.2761552035808563,0,0,0,0,0,0,1,1,0
3,nicor,N07BA01,0.6035966277122498,0,0,0,0,0,0,3,1,1
3,nicor,J07BB01,0.39426174759864807,0,0,0,0,0,1,4,1,0
3,nicor,J01GA01,0.38366270065307617,0,0,0,0,0,1,3,1,0
3,nicor,N07XX02,0.41645243763923645,0,0,0,0,0,1,1,1,0
3,nicor,L01XX14,0.4227234125137329,0,0,0,0,0,0,1,1,0
4,nicoderm,N07BA01,0.5796476006507874,0,1,0,0,0,0,3,1,1
4,nicoderm,A11AA03,0.4204450845718384,0,0,0,0,0,1,1,0,0
4,nicoderm,S02AA16,0.4900331199169159,0,0,0,0,0,0,1,1,0
4,nicoderm,L01XC26,0.397832453250885,0,0,0,0,0,1,2,1,0
4,nicoderm,C09AA02,0.4640255570411682,0,0,0,0,0,1,4,1,0
5,nicod,N07BA01,0.6129724979400635,0,0,0,0,0,0,3,1,1
5,nicod,R01AD03,0.44022321701049805,0,0,0,0,0,0,1,1,0
5,nicod,P02AB02,0.46193623542785645,0,0,0,0,0,0,3,0,0
5,nicod,L04AC09,0.48997804522514343,0,0,0,0,0,1,2,1,0
