group_id,query,atc_code,label
0,panc,A09AA02,1
0,panc,N05BA12,0
0,panc,J06AA01,0
0,panc,R01AD12,0
0,panc,J06BB01,0
1,pancrelipase,A09AA02,1
1,pancrelipase,G03GA08,0
1,pancrelipase,N06AA10,0
1,pancrelipase,J05AR03,0
1,pancrelipase,B03AX07,0
2,pank,A09AA02,1
2,pank,C02AC01,0
2,pank,M05BA01,0
2,pank,N06DA02,0
2,pank,L01XX58,0
3,nicor,N07BA01,1
3,nicor,J07BB01,0
3,nicor,J01GA01,0
3,nicor,N07XX02,0
3,nicor,L01XX14,0
4,nicoderm,N07BA01,1
4,nicoderm,A11AA03,0
4,nicoderm,S02AA16,0
4,nicoderm,L01XC26,0
4,nicoderm,C09AA02,0
5,nicod,N07BA01,1
5,nicod,R01AD03,0
5,nicod,P02AB02,0
5,nicod,L04AC09,0
5,nicod,L01XX19,0
6,vitam,A11HA04,1
6,vitam,B05XA07,0
6,vitam,A12CB01,0
6,vitam,S02CA03,0
6,vitam,L01XE06,0
7,ribof,A11HA04,1
7,ribof,J01FA09,0
7,ribof,B02AB01,0
7,ribof,A11CC06,0
7,ribof,G04BX06,0
8,beta,A11HA04,1
8,beta,N06AA09,0
8,beta,G02CX01,0
8,beta,R06AA09,0
8,beta,L01XC14,0
9,mucinex,R05CA03,1
9,mucinex,J04AB02,0
9,mucinex,V03AB24,0
9,mucinex,A11AA03,0
9,mucinex,A10BH03,0
10,guaifenesin,R05CA03,1
10,guaifenesin,N07BB01,0
10,guaifenesin,N05AD01,0
10,guaifenesin,V08AA03,0
10,guaifenesin,J07AL01,0
11,guaif,R05CA03,1
11,guaif,A06AX04,0
11,guaif,N05CM01,0
11,guaif,R05CB13,0
11,guaif,B05BC01,0
12,vita,A11AB,1
12,vita,H05BX04,0
12,vita,D11AH02,0
12,vita,A10BB07,0
12,vita,N06AA04,0
13,b-co,A11AB,1
13,b-co,N02AX02,0
13,b-co,M01AE09,0
13,b-co,N05BA,0
13,b-co,L04AC02,0
14,vitam,A11AB,1
14,vitam,M04AB01,0
14,vitam,N02AX06,0
14,vitam,J07BK01,0
14,vitam,V03AE05,0
15,pncll,A16AA01,1
15,pncll,S01EC03,0
15,pncll,A07EC02,0
15,pncll,G03GB02,0
15,pncll,N06BX12,0
16,carni,A16AA01,1
16,carni,M03AC04,0
16,carni,J07CA09,0
16,carni,V03AC03,0
16,carni,J01FF01,0
17,l-crn,A16AA01,1
17,l-crn,M01AB05,0
17,l-crn,N05AF05,0
