group_id,query,atc_code,label
0,pank,A09AA02,1
0,pank,L04AC03,0
0,pank,G02CB01,0
0,pank,H01BB03,0
0,pank,B03AA07,0
0,pank,A06AX05,0
0,pank,C08DA01,0
0,pank,J01CF02,0
0,pank,N02AJ13,0
1,pancreatin,A09AA02,1
1,pancreatin,J01XX11,0
1,pancreatin,L01BC02,0
1,pancreatin,L04AA13,0
1,pancreatin,C01EB10,0
1,pancreatin,M03AA01,0
1,pancreatin,C01AE01,0
1,pancreatin,A07BB,0
1,pancreatin,S02AA03,0
2,pancr,A09AA02,1
2,pancr,L04AA37,0
2,pancr,A10BK03,0
2,pancr,A11CC01,0
2,pancr,L04AE02,0
2,pancr,N05CM01,0
2,pancr,R03AB02,0
2,pancr,L04AC14,0
2,pancr,J07BA02,0
3,pancrelipase,A09AA02,1
3,pancrelipase,H01BA01,0
3,pancrelipase,V03AB25,0
3,pancrelipase,L01BA06,0
3,pancrelipase,M05BA03,0
3,pancrelipase,N05AF01,0
3,pancrelipase,J01XA04,0
3,pancrelipase,N05AH01,0
3,pancrelipase,J07AJ51,0
4,creon,A09AA02,1
4,creon,N06DA03,0
4,creon,L01XE11,0
4,creon,C10AA05,0
4,creon,L02AE04,0
4,creon,M05BA06,0
4,creon,N05AH03,0
4,creon,N05AE01,0
4,creon,L01XC23,0
5,pankreoflat,A09AA02,1
5,pankreoflat,S01ED51,0
5,pankreoflat,J01GB04,0
5,pankreoflat,L04AA23,0
5,pankreoflat,N05AA03,0
5,pankreoflat,L02BG04,0
5,pankreoflat,J05AR03,0
5,pankreoflat,A03FA03,0
5,pankreoflat,J01AX08,0
6,pancrease,A09AA02,1
6,pancrease,B05XA07,0
6,pancrease,G03AA13,0
6,pancrease,B01AE06,0
6,pancrease,M03BX01,0
6,pancrease,L02BX06,0
6,pancrease,L04AX01,0
6,pancrease,J05AX08,0
6,pancrease,G03CA57,0
7,pncr,A09AA02,1
7,pncr,L01AX07,0
7,pncr,J04AB02,0
7,pncr,J01GB07,0
7,pncr,C10AX08,0
7,pncr,L01XC14,0
7,pncr,N07AA03,0
7,pncr,C01DA14,0
7,pncr,L01BB06,0
8,pankr,A09AA02,1
8,pankr,S01GX09,0
8,pankr,A10BX02,0
8,pankr,V08CA08,0
8,pankr,R06AE07,0
8,pankr,J01AA07,0
8,pankr,V03AB03,0
8,pankr,A06AD11,0
8,pankr,N03AD01,0
9,creo,A09AA02,1
9,creo,A12BA03,0
9,creo,J05AE09,0
9,creo,H05BA01,0
9,creo,B02BX06,0
9,creo,J04AK01,0
9,creo,J07AH08,0
9,creo,C02DC01,0
9,creo,D10AE01,0
10,nicod,N07BA01,1
10,nicod,L01DB02,0
10,nicod,V03AB24,0
10,nicod,G03CA57,0
10,nicod,J01MA16,0
10,nicod,N03AX14,0
10,nicod,A03FA01,0
10,nicod,B05XA03,0
10,nicod,C01CA06,0
11,nicotine,N07BA01,1
11,nicotine,A11HA04,0
11,nicotine,S01HA03,0
11,nicotine,M03BX03,0
11,nicotine,J05AE03,0
11,nicotine,C09AA03,0
11,nicotine,J02AC04,0
11,nicotine,N04BX02,0
11,nicotine,A08AA60,0
12,nicoderm,N07BA01,1
12,nicoderm,B05AA02,0
12,nicoderm,J01AX08,0
12,nicoderm,N04AA02,0
12,nicoderm,J05AE01,0
12,nicoderm,V03AB38,0
12,nicoderm,J05AB11,0
12,nicoderm,N04BD02,0
12,nicoderm,D05BB02,0
13,nicot,N07BA01,1
13,nicot,H03AA02,0
13,nicot,J01FA10,0
13,nicot,A02BA02,0
13,nicot,B05AA02,0
13,nicot,J01CE08,0
13,nicot,L01DA02,0
13,nicot,L04AX02,0
13,nicot,C01CA06,0
14,nctn,N07BA01,1
14,nctn,L01XX55,0
14,nctn,N03AF02,0
14,nctn,A12CC07,0
14,nctn,H01AA05,0
14,nctn,J04BA02,0
14,nctn,A11CC03,0
14,nctn,J01XB01,0
14,nctn,A02AH01,0
15,nico,N07BA01,1
15,nico,N01BB02,0
15,nico,V03AB35,0
15,nico,B01AB01,0
15,nico,V03AB11,0
15,nico,J05AP07,0
15,nico,B05BB01,0
15,nico,H01AA02,0
15,nico,A16AX01,0
16,nicor,N07BA01,1
16,nicor,L01XE08,0
16,nicor,N06DA03,0
16,nicor,D07AC04,0
16,nicor,N01BB01,0
16,nicor,D05BA02,0
16,nicor,J05AH02,0
16,nicor,B02AA01,0
16,nicor,R03DX10,0
17,nicorette,N07BA01,1
17,nicorette,C10AB04,0
17,nicorette,C08CA08,0
17,nicorette,J01XB01,0
17,nicorette,L01AA02,0
17,nicorette,N01AX07,0
17,nicorette,L04AX02,0
17,nicorette,R03BB01,0
17,nicorette,L01BB04,0
18,bt-cr,A11HA04,1
18,bt-cr,S02AA03,0
18,bt-cr,H02AA02,0
18,bt-cr,L01CD01,0
18,bt-cr,N06AB08,0
18,bt-cr,A10BF01,0
18,bt-cr,D04AA10,0
18,bt-cr,C10AA03,0
18,bt-cr,C01CA24,0
19,rbflv,A11HA04,1
19,rbflv,B02BX04,0
19,rbflv,R06AE07,0
19,rbflv,L01XX58,0
19,rbflv,B03AA07,0
19,rbflv,N05BA02,0
19,rbflv,G03CA57,0
19,rbflv,R06AA09,0
19,rbflv,H02AB09,0
20,riboflavin,A11HA04,1
20,riboflavin,J07BG01,0
20,riboflavin,N01BB52,0
20,riboflavin,N02AX02,0
20,riboflavin,N03AG01,0
20,riboflavin,R01AA07,0
20,riboflavin,S01BC03,0
20,riboflavin,D01AC01,0
20,riboflavin,A02AD03,0
21,acid,A11HA04,1
21,acid,J07BF03,0
21,acid,C02AB01,0
21,acid,L04AA41,0
21,acid,N01BB01,0
21,acid,S01BC03,0
21,acid,J01GB07,0
21,acid,V03AB11,0
21,acid,G03AA12,0
22,cd pn,A11HA04,1
22,cd pn,B05XA07,0
22,cd pn,A06AH01,0
22,cd pn,L04AE01,0
22,cd pn,L04AF07,0
22,cd pn,N04BC09,0
22,cd pn,L01XE05,0
22,cd pn,L01BC01,0
22,cd pn,R03DA04,0
23,vita,A11HA04,1
23,vita,N05CA04,0
23,vita,A07DA02,0
23,vita,V08CA01,0
23,vita,J07AE01,0
23,vita,J01MA07,0
23,vita,L01XE37,0
23,vita,L04AH02,0
23,vita,P01CX01,0
24,vitam,A11HA04,1
24,vitam,H01CC01,0
24,vitam,P02AX01,0
24,vitam,J01GB06,0
24,vitam,S01BC03,0
24,vitam,N05CA04,0
24,vitam,C03DA01,0
24,vitam,J01CF04,0
24,vitam,V08CA08,0
25,beta-carotene (provitamin a),A11HA04,1
25,beta-carotene (provitamin a),D06AX09,0
25,beta-carotene (provitamin a),A10BH03,0
25,beta-carotene (provitamin a),B02BX05,0
25,beta-carotene (provitamin a),L04AA24,0
25,beta-carotene (provitamin a),N06AA21,0
25,beta-carotene (provitamin a),N03AX16,0
25,beta-carotene (provitamin a),N01AB07,0
25,beta-carotene (provitamin a),J01CA12,0
26,ribof,A11HA04,1
26,ribof,C03BA08,0
26,ribof,J01XX11,0
26,ribof,R06AB54,0
26,ribof,J01XA02,0
26,ribof,V03AE02,0
26,ribof,H05AA04,0
26,ribof,P01AX11,0
26,ribof,D10AF02,0
27,rbfl,A11HA04,1
27,rbfl,J06BB09,0
27,rbfl,V03AB04,0
27,rbfl,B05AA01,0
27,rbfl,J01AX07,0
27,rbfl,J01DB09,0
27,rbfl,A06AB02,0
27,rbfl,D06BB04,0
27,rbfl,N01BB52,0
28,guaif,R05CA03,1
28,guaif,C02AA04,0
28,guaif,G03GB02,0
28,guaif,C02DD01,0
28,guaif,L04AA23,0
28,guaif,J07AJ51,0
28,guaif,B01AF01,0
28,guaif,D01AE19,0
28,guaif,A11CA01,0
29,mucinex,R05CA03,1
29,mucinex,B01AB01,0
29,mucinex,B01AC05,0
29,mucinex,L01AD02,0
29,mucinex,L04AB04,0
29,mucinex,D05BB01,0
29,mucinex,G03CA57,0
29,mucinex,J01FF02,0
29,mucinex,J01GB06,0
30,gfns,R05CA03,1
30,gfns,L04AA33,0
30,gfns,B02BD08,0
30,gfns,C01BC04,0
30,gfns,N02AA01,0
30,gfns,V03AX03,0
30,gfns,B02AB03,0
30,gfns,N02CX02,0
30,gfns,L04AB04,0
31,guaifenesin,R05CA03,1
31,guaifenesin,H05BA01,0
31,guaifenesin,N01BA02,0
31,guaifenesin,C01BC03,0
31,guaifenesin,A12AA02,0
31,guaifenesin,V03AF04,0
31,guaifenesin,A12AA04,0
31,guaifenesin,N01BA05,0
31,guaifenesin,G03GA07,0
32,guai,R05CA03,1
32,guai,A07FA01,0
32,guai,J01DI54,0
32,guai,C01DA02,0
32,guai,J01XA03,0
32,guai,L04AH02,0
32,guai,J05AH03,0
32,guai,G04CA52,0
32,guai,J07BM01,0
33,muci,R05CA03,1
33,muci,A03FA03,0
33,muci,A10BJ01,0
33,muci,N02AX06,0
33,muci,H05BX01,0
33,muci,V03AX03,0
33,muci,B03XA03,0
33,muci,C02KX01,0
33,muci,C02CA01,0
34,mucin,R05CA03,1
34,mucin,L01BB04,0
34,mucin,J06AA01,0
34,mucin,S02CA03,0
34,mucin,G04BE09,0
34,mucin,B05XA04,0
34,mucin,J07BK03,0
34,mucin,L01XC18,0
34,mucin,C04AX01,0
35,gfnsn,R05CA03,1
35,gfnsn,C02KX05,0
35,gfnsn,A16AA05,0
35,gfnsn,L01BB02,0
35,gfnsn,M05BA04,0
35,gfnsn,S01EC07,0
35,gfnsn,J07AM01,0
35,gfnsn,N03AX15,0
35,gfnsn,A02BC05,0
36,b6/b,A11AB,1
36,b6/b,B01AC07,0
36,b6/b,B03BA01,0
36,b6/b,N05AB04,0
36,b6/b,C01DG01,0
36,b6/b,J01AX07,0
36,b6/b,V06DC02,0
36,b6/b,S01AB04,0
36,b6/b,N04BC09,0
37,vita,A11AB,1
37,vita,C01BC02,0
37,vita,L01AD02,0
37,vita,D06AX01,0
37,vita,D06BB04,0
37,vita,B01AC09,0
37,vita,J01AX09,0
37,vita,A10BH03,0
37,vita,M05BX06,0
38,vtmn,A11AB,1
38,vtmn,N02BE01,0
38,vtmn,S01AA11,0
38,vtmn,J01DH51,0
38,vtmn,S01AD01,0
38,vtmn,C01BD07,0
38,vtmn,J05AX05,0
38,vtmn,N05BA16,0
38,vtmn,A06AD01,0
39,b12),A11AB,1
39,b12),P01AA03,0
39,b12),A07FA01,0
39,b12),H02AA01,0
39,b12),L04AA38,0
39,b12),C01CA24,0
39,b12),J07AH08,0
39,b12),J01DB01,0
39,b12),J01GB01,0
40,neur,A11AB,1
40,neur,N01BB01,0
